State,Industry,Measure,Year,Pivot Field Values
Virginia,Couriers and messengers,     Business Establishments,2016,439
Virginia,Couriers and messengers,Transportation Employees,2016,13480
Washington,Couriers and messengers,     Annual Payroll (thousands),2016,520188
Washington,Couriers and messengers,     Business Establishments,2016,468
Washington,Couriers and messengers,Transportation Employees,2016,12567
West Virginia,Couriers and messengers,     Annual Payroll (thousands),2016,99797
West Virginia,Couriers and messengers,     Business Establishments,2016,105
West Virginia,Couriers and messengers,Transportation Employees,2016,2477
Wisconsin,Couriers and messengers,     Annual Payroll (thousands),2016,370331
Wisconsin,Couriers and messengers,     Business Establishments,2016,287
Wisconsin,Couriers and messengers,Transportation Employees,2016,9304
Wyoming,Couriers and messengers,     Annual Payroll (thousands),2016,41652
Wyoming,Couriers and messengers,     Business Establishments,2016,65
Wyoming,Couriers and messengers,Transportation Employees,2016,988
Alabama,Pipeline transportation,     Annual Payroll (thousands),2016,65177
Alabama,Pipeline transportation,     Business Establishments,2016,52
Alabama,Pipeline transportation,Transportation Employees,2016,652
Alaska,Pipeline transportation,     Business Establishments,2016,7
Arizona,Pipeline transportation,     Annual Payroll (thousands),2016,34206
Arizona,Pipeline transportation,     Business Establishments,2016,22
Arizona,Pipeline transportation,Transportation Employees,2016,392
Arkansas,Pipeline transportation,     Annual Payroll (thousands),2016,41646
Arkansas,Pipeline transportation,     Business Establishments,2016,34
Arkansas,Pipeline transportation,Transportation Employees,2016,426
California,Pipeline transportation,     Annual Payroll (thousands),2016,204908
California,Pipeline transportation,     Business Establishments,2016,120
California,Pipeline transportation,Transportation Employees,2016,1893
Colorado,Pipeline transportation,     Annual Payroll (thousands),2016,145984
Colorado,Pipeline transportation,     Business Establishments,2016,67
Colorado,Pipeline transportation,Transportation Employees,2016,1261
Connecticut,Pipeline transportation,     Annual Payroll (thousands),2016,20696
Connecticut,Pipeline transportation,     Business Establishments,2016,4
Connecticut,Pipeline transportation,Transportation Employees,2016,166
Delaware,Pipeline transportation,     Business Establishments,2016,1
Florida,Pipeline transportation,     Annual Payroll (thousands),2016,35808
Florida,Pipeline transportation,     Business Establishments,2016,51
Florida,Pipeline transportation,Transportation Employees,2016,399
Georgia,Pipeline transportation,     Annual Payroll (thousands),2016,53373
Georgia,Pipeline transportation,     Business Establishments,2016,49
Georgia,Pipeline transportation,Transportation Employees,2016,508
Idaho,Pipeline transportation,     Business Establishments,2016,8
Illinois,Pipeline transportation,     Annual Payroll (thousands),2016,120904
Illinois,Pipeline transportation,     Business Establishments,2016,59
Illinois,Pipeline transportation,Transportation Employees,2016,1118
Indiana,Pipeline transportation,     Annual Payroll (thousands),2016,54906
Indiana,Pipeline transportation,     Business Establishments,2016,39
Indiana,Pipeline transportation,Transportation Employees,2016,519
Iowa,Pipeline transportation,     Annual Payroll (thousands),2016,36769
Iowa,Pipeline transportation,     Business Establishments,2016,54
Iowa,Pipeline transportation,Transportation Employees,2016,392
Kansas,Pipeline transportation,     Annual Payroll (thousands),2016,85551
Kansas,Pipeline transportation,     Business Establishments,2016,74
Kansas,Pipeline transportation,Transportation Employees,2016,936
Kentucky,Pipeline transportation,     Annual Payroll (thousands),2016,96655
Kentucky,Pipeline transportation,     Business Establishments,2016,71
Kentucky,Pipeline transportation,Transportation Employees,2016,900
Louisiana,Pipeline transportation,     Annual Payroll (thousands),2016,265342
Louisiana,Pipeline transportation,     Business Establishments,2016,234
Louisiana,Pipeline transportation,Transportation Employees,2016,2702
Maine,Pipeline transportation,     Annual Payroll (thousands),2016,8073
Maine,Pipeline transportation,     Business Establishments,2016,11
Maine,Pipeline transportation,Transportation Employees,2016,80
Maryland,Pipeline transportation,     Annual Payroll (thousands),2016,9863
Maryland,Pipeline transportation,     Business Establishments,2016,12
Maryland,Pipeline transportation,Transportation Employees,2016,111
Massachusetts,Pipeline transportation,     Annual Payroll (thousands),2016,17159
Massachusetts,Pipeline transportation,     Business Establishments,2016,5
Massachusetts,Pipeline transportation,Transportation Employees,2016,143
Michigan,Pipeline transportation,     Annual Payroll (thousands),2016,124524
Michigan,Pipeline transportation,     Business Establishments,2016,79
Michigan,Pipeline transportation,Transportation Employees,2016,1196
Minnesota,Pipeline transportation,     Annual Payroll (thousands),2016,79725
Minnesota,Pipeline transportation,     Business Establishments,2016,59
Minnesota,Pipeline transportation,Transportation Employees,2016,724
Mississippi,Pipeline transportation,     Annual Payroll (thousands),2016,80448
Mississippi,Pipeline transportation,     Business Establishments,2016,88
Mississippi,Pipeline transportation,Transportation Employees,2016,960
Missouri,Pipeline transportation,     Annual Payroll (thousands),2016,31872
Missouri,Pipeline transportation,     Business Establishments,2016,40
Missouri,Pipeline transportation,Transportation Employees,2016,332
Montana,Pipeline transportation,     Annual Payroll (thousands),2016,36442
Montana,Pipeline transportation,     Business Establishments,2016,39
Montana,Pipeline transportation,Transportation Employees,2016,415
Nebraska,Pipeline transportation,     Annual Payroll (thousands),2016,14695
Nebraska,Pipeline transportation,     Business Establishments,2016,15
Nebraska,Pipeline transportation,Transportation Employees,2016,136
Nevada,Pipeline transportation,     Business Establishments,2016,3
New Hampshire,Pipeline transportation,     Business Establishments,2016,2
New Jersey,Pipeline transportation,     Annual Payroll (thousands),2016,49253
New Jersey,Pipeline transportation,     Business Establishments,2016,28
New Jersey,Pipeline transportation,Transportation Employees,2016,493
New Mexico,Pipeline transportation,     Annual Payroll (thousands),2016,24177
New Mexico,Pipeline transportation,     Business Establishments,2016,24
New Mexico,Pipeline transportation,Transportation Employees,2016,243
New York,Pipeline transportation,     Annual Payroll (thousands),2016,37895
New York,Pipeline transportation,     Business Establishments,2016,63
New York,Pipeline transportation,Transportation Employees,2016,396
North Carolina,Pipeline transportation,     Annual Payroll (thousands),2016,26941
North Carolina,Pipeline transportation,     Business Establishments,2016,35
North Carolina,Pipeline transportation,Transportation Employees,2016,329
North Dakota,Pipeline transportation,     Annual Payroll (thousands),2016,122171
North Dakota,Pipeline transportation,     Business Establishments,2016,55
North Dakota,Pipeline transportation,Transportation Employees,2016,1001
Ohio,Pipeline transportation,     Annual Payroll (thousands),2016,198767
Ohio,Pipeline transportation,     Business Establishments,2016,126
Ohio,Pipeline transportation,Transportation Employees,2016,1899
Oklahoma,Pipeline transportation,     Annual Payroll (thousands),2016,286115
Oklahoma,Pipeline transportation,     Business Establishments,2016,123
Oklahoma,Pipeline transportation,Transportation Employees,2016,2511
Oregon,Pipeline transportation,     Business Establishments,2016,12
Pennsylvania,Pipeline transportation,     Annual Payroll (thousands),2016,233721
Pennsylvania,Pipeline transportation,     Business Establishments,2016,172
Pennsylvania,Pipeline transportation,Transportation Employees,2016,2328
Rhode Island,Pipeline transportation,     Business Establishments,2016,4
South Carolina,Pipeline transportation,     Annual Payroll (thousands),2016,7080
South Carolina,Pipeline transportation,     Business Establishments,2016,7
South Carolina,Pipeline transportation,Transportation Employees,2016,78
South Dakota,Pipeline transportation,     Annual Payroll (thousands),2016,7762
South Dakota,Pipeline transportation,     Business Establishments,2016,11
South Dakota,Pipeline transportation,Transportation Employees,2016,83
Tennessee,Pipeline transportation,     Annual Payroll (thousands),2016,58703
Tennessee,Pipeline transportation,     Business Establishments,2016,51
Tennessee,Pipeline transportation,Transportation Employees,2016,647
Texas,Pipeline transportation,     Annual Payroll (thousands),2016,2822287
Texas,Pipeline transportation,     Business Establishments,2016,618
Texas,Pipeline transportation,Transportation Employees,2016,18791
Utah,Pipeline transportation,     Annual Payroll (thousands),2016,24620
Utah,Pipeline transportation,     Business Establishments,2016,22
Utah,Pipeline transportation,Transportation Employees,2016,245
Vermont,Pipeline transportation,     Business Establishments,2016,1
Virginia,Pipeline transportation,     Annual Payroll (thousands),2016,45830
Virginia,Pipeline transportation,     Business Establishments,2016,53
Virginia,Pipeline transportation,Transportation Employees,2016,443
Washington,Pipeline transportation,     Annual Payroll (thousands),2016,31172
Washington,Pipeline transportation,     Business Establishments,2016,9
Washington,Pipeline transportation,Transportation Employees,2016,274
West Virginia,Pipeline transportation,     Annual Payroll (thousands),2016,156056
West Virginia,Pipeline transportation,     Business Establishments,2016,96
West Virginia,Pipeline transportation,Transportation Employees,2016,1356
Wisconsin,Pipeline transportation,     Business Establishments,2016,15
Wyoming,Pipeline transportation,     Annual Payroll (thousands),2016,76811
Wyoming,Pipeline transportation,     Business Establishments,2016,64
Wyoming,Pipeline transportation,Transportation Employees,2016,814
Alaska,Rail transportation,     Business Establishments,2016,1
California,Rail transportation,     Annual Payroll (thousands),2016,5871
California,Rail transportation,     Business Establishments,2016,9
California,Rail transportation,Transportation Employees,2016,134
Connecticut,Rail transportation,     Business Establishments,2016,2
Delaware,Rail transportation,     Business Establishments,2016,2
Florida,Rail transportation,     Annual Payroll (thousands),2016,4110
Florida,Rail transportation,     Business Establishments,2016,13
Florida,Rail transportation,Transportation Employees,2016,67
Georgia,Rail transportation,     Business Establishments,2016,2
Idaho,Rail transportation,     Business Establishments,2016,1
Illinois,Rail transportation,     Annual Payroll (thousands),2016,2663
Illinois,Rail transportation,     Business Establishments,2016,22
Illinois,Rail transportation,Transportation Employees,2016,33
Indiana,Rail transportation,     Business Establishments,2016,3
Kentucky,Rail transportation,     Annual Payroll (thousands),2016,614
Kentucky,Rail transportation,     Business Establishments,2016,6
Kentucky,Rail transportation,Transportation Employees,2016,11
Louisiana,Rail transportation,     Business Establishments,2016,1
Maine,Rail transportation,     Business Establishments,2016,1
Maryland,Rail transportation,     Business Establishments,2016,3
Minnesota,Rail transportation,     Annual Payroll (thousands),2016,1959
Minnesota,Rail transportation,     Business Establishments,2016,10
Minnesota,Rail transportation,Transportation Employees,2016,50
Missouri,Rail transportation,     Business Establishments,2016,3
Montana,Rail transportation,     Business Establishments,2016,1
Nevada,Rail transportation,     Business Establishments,2016,1
New Jersey,Rail transportation,     Business Establishments,2016,2
New Mexico,Rail transportation,     Business Establishments,2016,1
New York,Rail transportation,     Annual Payroll (thousands),2016,1182
New York,Rail transportation,     Business Establishments,2016,5
New York,Rail transportation,Transportation Employees,2016,21
North Carolina,Rail transportation,     Business Establishments,2016,2
Ohio,Rail transportation,     Annual Payroll (thousands),2016,392
Ohio,Rail transportation,     Business Establishments,2016,4
Ohio,Rail transportation,Transportation Employees,2016,7
Oregon,Rail transportation,     Business Establishments,2016,2
Rhode Island,Rail transportation,     Business Establishments,2016,1
Tennessee,Rail transportation,     Business Establishments,2016,2
Texas,Rail transportation,     Annual Payroll (thousands),2016,2918
Texas,Rail transportation,     Business Establishments,2016,10
Texas,Rail transportation,Transportation Employees,2016,67
Virginia,Rail transportation,     Business Establishments,2016,1
Washington,Rail transportation,     Business Establishments,2016,2
Wisconsin,Rail transportation,     Business Establishments,2016,1
Alabama,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,3358
Alabama,Scenic and sightseeing transportation,     Business Establishments,2016,41
Alabama,Scenic and sightseeing transportation,Transportation Employees,2016,86
Alaska,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,58937
Alaska,Scenic and sightseeing transportation,     Business Establishments,2016,169
Alaska,Scenic and sightseeing transportation,Transportation Employees,2016,1694
Arizona,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,18681
Arizona,Scenic and sightseeing transportation,     Business Establishments,2016,38
Arizona,Scenic and sightseeing transportation,Transportation Employees,2016,624
Arkansas,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,440
Arkansas,Scenic and sightseeing transportation,     Business Establishments,2016,5
Arkansas,Scenic and sightseeing transportation,Transportation Employees,2016,27
California,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,180138
California,Scenic and sightseeing transportation,     Business Establishments,2016,319
California,Scenic and sightseeing transportation,Transportation Employees,2016,4541
Colorado,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,19828
Colorado,Scenic and sightseeing transportation,     Business Establishments,2016,44
Colorado,Scenic and sightseeing transportation,Transportation Employees,2016,704
Connecticut,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,3711
Connecticut,Scenic and sightseeing transportation,     Business Establishments,2016,21
Connecticut,Scenic and sightseeing transportation,Transportation Employees,2016,174
Delaware,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,712
Delaware,Scenic and sightseeing transportation,     Business Establishments,2016,10
Delaware,Scenic and sightseeing transportation,Transportation Employees,2016,32
Florida,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,86035
Florida,Scenic and sightseeing transportation,     Business Establishments,2016,601
Florida,Scenic and sightseeing transportation,Transportation Employees,2016,2725
Georgia,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,10085
Georgia,Scenic and sightseeing transportation,     Business Establishments,2016,42
Georgia,Scenic and sightseeing transportation,Transportation Employees,2016,471
Hawaii,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,152124
Hawaii,Scenic and sightseeing transportation,     Business Establishments,2016,231
Hawaii,Scenic and sightseeing transportation,Transportation Employees,2016,4250
Idaho,Scenic and sightseeing transportation,     Business Establishments,2016,10
Illinois,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,36213
Illinois,Scenic and sightseeing transportation,     Business Establishments,2016,57
Illinois,Scenic and sightseeing transportation,Transportation Employees,2016,1068
Indiana,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,1398
Indiana,Scenic and sightseeing transportation,     Business Establishments,2016,21
Indiana,Scenic and sightseeing transportation,Transportation Employees,2016,116
Iowa,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,778
Iowa,Scenic and sightseeing transportation,     Business Establishments,2016,5
Iowa,Scenic and sightseeing transportation,Transportation Employees,2016,35
Kansas,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,3949
Kansas,Scenic and sightseeing transportation,     Business Establishments,2016,6
Kansas,Scenic and sightseeing transportation,Transportation Employees,2016,131
Kentucky,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,3359
Kentucky,Scenic and sightseeing transportation,     Business Establishments,2016,12
Kentucky,Scenic and sightseeing transportation,Transportation Employees,2016,191
Louisiana,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,22998
Louisiana,Scenic and sightseeing transportation,     Business Establishments,2016,55
Louisiana,Scenic and sightseeing transportation,Transportation Employees,2016,684
Maine,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,7954
Maine,Scenic and sightseeing transportation,     Business Establishments,2016,69
Maine,Scenic and sightseeing transportation,Transportation Employees,2016,356
Maryland,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,12202
Maryland,Scenic and sightseeing transportation,     Business Establishments,2016,46
Maryland,Scenic and sightseeing transportation,Transportation Employees,2016,509
Massachusetts,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,46074
Massachusetts,Scenic and sightseeing transportation,     Business Establishments,2016,126
Massachusetts,Scenic and sightseeing transportation,Transportation Employees,2016,1501
Michigan,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,15428
Michigan,Scenic and sightseeing transportation,     Business Establishments,2016,51
Michigan,Scenic and sightseeing transportation,Transportation Employees,2016,568
Minnesota,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,2376
Minnesota,Scenic and sightseeing transportation,     Business Establishments,2016,20
Minnesota,Scenic and sightseeing transportation,Transportation Employees,2016,123
Mississippi,Scenic and sightseeing transportation,     Business Establishments,2016,13
Missouri,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,9516
Missouri,Scenic and sightseeing transportation,     Business Establishments,2016,32
Missouri,Scenic and sightseeing transportation,Transportation Employees,2016,382
Montana,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,1626
Montana,Scenic and sightseeing transportation,     Business Establishments,2016,12
Montana,Scenic and sightseeing transportation,Transportation Employees,2016,62
Nebraska,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,254
Nebraska,Scenic and sightseeing transportation,     Business Establishments,2016,6
Nebraska,Scenic and sightseeing transportation,Transportation Employees,2016,25
Nevada,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,60358
Nevada,Scenic and sightseeing transportation,     Business Establishments,2016,48
Nevada,Scenic and sightseeing transportation,Transportation Employees,2016,1369
New Hampshire,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,8329
New Hampshire,Scenic and sightseeing transportation,     Business Establishments,2016,23
New Hampshire,Scenic and sightseeing transportation,Transportation Employees,2016,288
New Jersey,Scenic and sightseeing transportation,     Business Establishments,2016,86
New Mexico,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,5482
New Mexico,Scenic and sightseeing transportation,     Business Establishments,2016,14
New Mexico,Scenic and sightseeing transportation,Transportation Employees,2016,147
New York,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,108718
New York,Scenic and sightseeing transportation,     Business Establishments,2016,196
New York,Scenic and sightseeing transportation,Transportation Employees,2016,3131
North Carolina,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,8664
North Carolina,Scenic and sightseeing transportation,     Business Establishments,2016,85
North Carolina,Scenic and sightseeing transportation,Transportation Employees,2016,377
North Dakota,Scenic and sightseeing transportation,     Business Establishments,2016,1
Ohio,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,4210
Ohio,Scenic and sightseeing transportation,     Business Establishments,2016,30
Ohio,Scenic and sightseeing transportation,Transportation Employees,2016,200
Oklahoma,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,1134
Oklahoma,Scenic and sightseeing transportation,     Business Establishments,2016,11
Oklahoma,Scenic and sightseeing transportation,Transportation Employees,2016,63
Oregon,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,8699
Oregon,Scenic and sightseeing transportation,     Business Establishments,2016,43
Oregon,Scenic and sightseeing transportation,Transportation Employees,2016,333
Pennsylvania,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,22943
Pennsylvania,Scenic and sightseeing transportation,     Business Establishments,2016,53
Pennsylvania,Scenic and sightseeing transportation,Transportation Employees,2016,965
Rhode Island,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,4872
Rhode Island,Scenic and sightseeing transportation,     Business Establishments,2016,48
Rhode Island,Scenic and sightseeing transportation,Transportation Employees,2016,170
South Carolina,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,15771
South Carolina,Scenic and sightseeing transportation,     Business Establishments,2016,66
South Carolina,Scenic and sightseeing transportation,Transportation Employees,2016,575
South Dakota,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,2070
South Dakota,Scenic and sightseeing transportation,     Business Establishments,2016,13
South Dakota,Scenic and sightseeing transportation,Transportation Employees,2016,93
Tennessee,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,16044
Tennessee,Scenic and sightseeing transportation,     Business Establishments,2016,26
Tennessee,Scenic and sightseeing transportation,Transportation Employees,2016,598
Texas,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,19226
Texas,Scenic and sightseeing transportation,     Business Establishments,2016,106
Texas,Scenic and sightseeing transportation,Transportation Employees,2016,901
Utah,Scenic and sightseeing transportation,     Business Establishments,2016,23
Vermont,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,1306
Vermont,Scenic and sightseeing transportation,     Business Establishments,2016,8
Vermont,Scenic and sightseeing transportation,Transportation Employees,2016,36
Virginia,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,7202
Virginia,Scenic and sightseeing transportation,     Business Establishments,2016,39
Virginia,Scenic and sightseeing transportation,Transportation Employees,2016,295
Washington,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,33850
Washington,Scenic and sightseeing transportation,     Business Establishments,2016,77
Washington,Scenic and sightseeing transportation,Transportation Employees,2016,801
West Virginia,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,2198
West Virginia,Scenic and sightseeing transportation,     Business Establishments,2016,9
West Virginia,Scenic and sightseeing transportation,Transportation Employees,2016,84
Wisconsin,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,6395
Wisconsin,Scenic and sightseeing transportation,     Business Establishments,2016,36
Wisconsin,Scenic and sightseeing transportation,Transportation Employees,2016,336
Wyoming,Scenic and sightseeing transportation,     Annual Payroll (thousands),2016,844
Wyoming,Scenic and sightseeing transportation,     Business Establishments,2016,5
Wyoming,Scenic and sightseeing transportation,Transportation Employees,2016,30
Alabama,Support activities for transportation,     Annual Payroll (thousands),2016,388731
Alabama,Support activities for transportation,     Business Establishments,2016,645
Alabama,Support activities for transportation,Transportation Employees,2016,8026
Alaska,Support activities for transportation,     Annual Payroll (thousands),2016,152686
Alaska,Support activities for transportation,     Business Establishments,2016,218
Alaska,Support activities for transportation,Transportation Employees,2016,2853
Arizona,Support activities for transportation,     Annual Payroll (thousands),2016,682818
Arizona,Support activities for transportation,     Business Establishments,2016,762
Arizona,Support activities for transportation,Transportation Employees,2016,13533
Arkansas,Support activities for transportation,     Annual Payroll (thousands),2016,252268
Arkansas,Support activities for transportation,     Business Establishments,2016,482
Arkansas,Support activities for transportation,Transportation Employees,2016,5329
California,Support activities for transportation,     Annual Payroll (thousands),2016,6600623
California,Support activities for transportation,     Business Establishments,2016,4952
California,Support activities for transportation,Transportation Employees,2016,106686
Colorado,Support activities for transportation,     Annual Payroll (thousands),2016,385143
Colorado,Support activities for transportation,     Business Establishments,2016,700
Colorado,Support activities for transportation,Transportation Employees,2016,8504
Connecticut,Support activities for transportation,     Annual Payroll (thousands),2016,290336
Connecticut,Support activities for transportation,     Business Establishments,2016,345
Connecticut,Support activities for transportation,Transportation Employees,2016,3429
Delaware,Support activities for transportation,     Annual Payroll (thousands),2016,118643
Delaware,Support activities for transportation,     Business Establishments,2016,139
Delaware,Support activities for transportation,Transportation Employees,2016,1944
Florida,Support activities for transportation,     Annual Payroll (thousands),2016,2784112
Florida,Support activities for transportation,     Business Establishments,2016,4672
Florida,Support activities for transportation,Transportation Employees,2016,58831
Georgia,Support activities for transportation,     Annual Payroll (thousands),2016,1430307
Georgia,Support activities for transportation,     Business Establishments,2016,1881
Georgia,Support activities for transportation,Transportation Employees,2016,30252
Hawaii,Support activities for transportation,     Annual Payroll (thousands),2016,244054
Hawaii,Support activities for transportation,     Business Establishments,2016,231
Hawaii,Support activities for transportation,Transportation Employees,2016,4586
Idaho,Support activities for transportation,     Annual Payroll (thousands),2016,68013
Idaho,Support activities for transportation,     Business Establishments,2016,251
Idaho,Support activities for transportation,Transportation Employees,2016,1609
Illinois,Support activities for transportation,     Annual Payroll (thousands),2016,2102823
Illinois,Support activities for transportation,     Business Establishments,2016,2558
Illinois,Support activities for transportation,Transportation Employees,2016,36316
Indiana,Support activities for transportation,     Annual Payroll (thousands),2016,464676
Indiana,Support activities for transportation,     Business Establishments,2016,775
Indiana,Support activities for transportation,Transportation Employees,2016,10259
Iowa,Support activities for transportation,     Annual Payroll (thousands),2016,162382
Iowa,Support activities for transportation,     Business Establishments,2016,368
Iowa,Support activities for transportation,Transportation Employees,2016,3645
Kansas,Support activities for transportation,     Annual Payroll (thousands),2016,292964
Kansas,Support activities for transportation,     Business Establishments,2016,437
Kansas,Support activities for transportation,Transportation Employees,2016,5448
Kentucky,Support activities for transportation,     Annual Payroll (thousands),2016,492799
Kentucky,Support activities for transportation,     Business Establishments,2016,539
Kentucky,Support activities for transportation,Transportation Employees,2016,8738
Louisiana,Support activities for transportation,     Annual Payroll (thousands),2016,1233759
Louisiana,Support activities for transportation,     Business Establishments,2016,943
Louisiana,Support activities for transportation,Transportation Employees,2016,19447
Maine,Support activities for transportation,     Annual Payroll (thousands),2016,69200
Maine,Support activities for transportation,     Business Establishments,2016,234
Maine,Support activities for transportation,Transportation Employees,2016,1797
Maryland,Support activities for transportation,     Annual Payroll (thousands),2016,568376
Maryland,Support activities for transportation,     Business Establishments,2016,694
Maryland,Support activities for transportation,Transportation Employees,2016,9767
Massachusetts,Support activities for transportation,     Annual Payroll (thousands),2016,572703
Massachusetts,Support activities for transportation,     Business Establishments,2016,813
Massachusetts,Support activities for transportation,Transportation Employees,2016,9988
Michigan,Support activities for transportation,     Annual Payroll (thousands),2016,754891
Michigan,Support activities for transportation,     Business Establishments,2016,987
Michigan,Support activities for transportation,Transportation Employees,2016,15249
Minnesota,Support activities for transportation,     Annual Payroll (thousands),2016,490637
Minnesota,Support activities for transportation,     Business Establishments,2016,596
Minnesota,Support activities for transportation,Transportation Employees,2016,7963
Mississippi,Support activities for transportation,     Annual Payroll (thousands),2016,191489
Mississippi,Support activities for transportation,     Business Establishments,2016,407
Mississippi,Support activities for transportation,Transportation Employees,2016,4188
Missouri,Support activities for transportation,     Annual Payroll (thousands),2016,671445
Missouri,Support activities for transportation,     Business Establishments,2016,959
Missouri,Support activities for transportation,Transportation Employees,2016,13140
Montana,Support activities for transportation,     Annual Payroll (thousands),2016,63029
Montana,Support activities for transportation,     Business Establishments,2016,261
Montana,Support activities for transportation,Transportation Employees,2016,1714
Nebraska,Support activities for transportation,     Annual Payroll (thousands),2016,185986
Nebraska,Support activities for transportation,     Business Establishments,2016,304
Nebraska,Support activities for transportation,Transportation Employees,2016,3804
Nevada,Support activities for transportation,     Annual Payroll (thousands),2016,361724
Nevada,Support activities for transportation,     Business Establishments,2016,462
Nevada,Support activities for transportation,Transportation Employees,2016,7211
New Hampshire,Support activities for transportation,     Annual Payroll (thousands),2016,68150
New Hampshire,Support activities for transportation,     Business Establishments,2016,171
New Hampshire,Support activities for transportation,Transportation Employees,2016,1462
New Jersey,Support activities for transportation,     Annual Payroll (thousands),2016,2154488
New Jersey,Support activities for transportation,     Business Establishments,2016,1419
New Jersey,Support activities for transportation,Transportation Employees,2016,29254
New Mexico,Support activities for transportation,     Annual Payroll (thousands),2016,184798
New Mexico,Support activities for transportation,     Business Establishments,2016,247
New Mexico,Support activities for transportation,Transportation Employees,2016,3034
New York,Support activities for transportation,     Annual Payroll (thousands),2016,1991080
New York,Support activities for transportation,     Business Establishments,2016,2514
New York,Support activities for transportation,Transportation Employees,2016,36274
North Carolina,Support activities for transportation,     Annual Payroll (thousands),2016,773222
North Carolina,Support activities for transportation,     Business Establishments,2016,1102
North Carolina,Support activities for transportation,Transportation Employees,2016,15589
North Dakota,Support activities for transportation,     Annual Payroll (thousands),2016,101853
North Dakota,Support activities for transportation,     Business Establishments,2016,223
North Dakota,Support activities for transportation,Transportation Employees,2016,2017
Ohio,Support activities for transportation,     Annual Payroll (thousands),2016,1055951
Ohio,Support activities for transportation,     Business Establishments,2016,1326
Ohio,Support activities for transportation,Transportation Employees,2016,21952
Oklahoma,Support activities for transportation,     Annual Payroll (thousands),2016,366395
Oklahoma,Support activities for transportation,     Business Establishments,2016,541
Oklahoma,Support activities for transportation,Transportation Employees,2016,6896
Oregon,Support activities for transportation,     Annual Payroll (thousands),2016,451080
Oregon,Support activities for transportation,     Business Establishments,2016,674
Oregon,Support activities for transportation,Transportation Employees,2016,8845
Pennsylvania,Support activities for transportation,     Annual Payroll (thousands),2016,985702
Pennsylvania,Support activities for transportation,     Business Establishments,2016,1165
Pennsylvania,Support activities for transportation,Transportation Employees,2016,19244
Rhode Island,Support activities for transportation,     Annual Payroll (thousands),2016,52796
Rhode Island,Support activities for transportation,     Business Establishments,2016,130
Rhode Island,Support activities for transportation,Transportation Employees,2016,1171
South Carolina,Support activities for transportation,     Annual Payroll (thousands),2016,385630
South Carolina,Support activities for transportation,     Business Establishments,2016,591
South Carolina,Support activities for transportation,Transportation Employees,2016,8467
South Dakota,Support activities for transportation,     Annual Payroll (thousands),2016,47038
South Dakota,Support activities for transportation,     Business Establishments,2016,171
South Dakota,Support activities for transportation,Transportation Employees,2016,984
Tennessee,Support activities for transportation,     Annual Payroll (thousands),2016,678021
Tennessee,Support activities for transportation,     Business Establishments,2016,825
Tennessee,Support activities for transportation,Transportation Employees,2016,13250
Texas,Support activities for transportation,     Annual Payroll (thousands),2016,5153150
